Year,Sample_ID,Tissue_type,Coral,Depth,Atoll,Site,Symbiont_d13C,Symbiont_d15N,Symbiont_C_ug,Symbiont_wt-percent_C,Symbiont_wt-percent_C_num,Symbiont_N_ug,Symbiont_wt-percent_N,Symbiont_wt-percent_N_num,Symbiont_dry-weight_mg,Symbiont_dry-weight_ug,Symbiont_CN_molar-ratio
2015,ZM212,Symbiont,Galaxea,Deep,Meemu,Bodu huraa,-15.7,5.2,394.6,0.194,19.4,50.5,0.025,2.5,2.034,2034,9.1
2015,ZM213,Symbiont,Pocillopora,Deep,Meemu,Bodu huraa,-17,5.5,667.7,0.318,31.8,127,0.06,6,2.1,2100,6.1
2015,ZM216,Symbiont,Pocillopora,Deep,Meemu,Bodu huraa,-16.3,5.6,766.1,0.374,37.4,132.6,0.065,6.5,2.046,2046,6.7
2015,ZM220,Symbiont,Pocillopora,Deep,Meemu,Bodu huraa,-15.7,5,557.2,0.262,26.2,101.5,0.048,4.8,2.129,2129,6.4
2015,ZM225,Symbiont,Galaxea,Deep,Meemu,Bodu huraa,-17.2,4.5,396.5,0.185,18.5,63.8,0.03,3,2.142,2142,7.3
2015,ZM228,Symbiont,Pachyseris,Shallow,Meemu,Bodu huraa,-12.8,5.5,222.5,0.107,10.7,25.5,0.012,1.2,2.089,2089,10.2
2015,ZM230,Symbiont,Pachyseris,Shallow,Meemu,Bodu huraa,-15.1,5.2,377.2,0.185,18.5,52.3,0.026,2.6,2.034,2034,8.4
2015,ZM232,Symbiont,Pachyseris,Shallow,Meemu,Bodu huraa,-12,5.8,464.4,0.23,23,55.9,0.028,2.8,2.023,2023,9.7
2015,ZM235,Symbiont,Pocillopora,Shallow,Meemu,Bodu huraa,-18.2,5.5,640.8,0.318,31.8,104.1,0.052,5.2,2.013,2013,7.2
2015,ZM236,Symbiont,Pocillopora,Shallow,Meemu,Bodu huraa,-17.8,4.1,648.3,0.309,30.9,99,0.047,4.7,2.098,2098,7.6
2015,ZM238,Symbiont,Pocillopora,Shallow,Meemu,Bodu huraa,-18.2,5.8,461.3,0.224,22.4,76.6,0.037,3.7,2.057,2057,7
2015,ZM241,Symbiont,Galaxea,Shallow,Meemu,Bodu huraa,-15.1,4.8,566.3,0.275,27.5,88.8,0.043,4.3,2.06,2060,7.4
2015,ZM246,Symbiont,Galaxea,Shallow,Meemu,Bodu huraa,-15.4,4.2,483.2,0.235,23.5,80.4,0.039,3.9,2.056,2056,7
2015,ZM248,Symbiont,Galaxea,Shallow,Meemu,Bodu huraa,-14.4,3.7,353.7,0.173,17.3,49.8,0.024,2.4,2.04,2040,8.3
2015,ZM254,Symbiont,Pachyseris,Deep,,Veyvah,-12.3,5.9,329.2,0.162,16.2,39.1,0.019,1.9,2.03,2030,9.8
2015,ZM255,Symbiont,Pachyseris,Deep,,Veyvah,-15.1,5.7,341.6,0.166,16.6,44.3,0.022,2.2,2.056,2056,9
2015,ZM256,Symbiont,Pachyseris,Deep,,Veyvah,-14.2,5.7,469.3,0.233,23.3,53.3,0.026,2.6,2.014,2014,10.3
2015,ZM261,Symbiont,Galaxea,Deep,,Veyvah,-16.6,4.9,396.1,0.191,19.1,60.4,0.029,2.9,2.069,2069,7.7
2015,ZM262,Symbiont,Galaxea,Deep,,Veyvah,-18,5.7,446.8,0.219,21.9,70.7,0.035,3.5,2.041,2041,7.4
2015,ZM263,Symbiont,Galaxea,Deep,,Veyvah,-17.8,5.1,378.1,0.184,18.4,47.7,0.023,2.3,2.057,2057,9.2
2015,ZM265,Symbiont,Pocillopora,Deep,,Veyvah,-17.3,5.8,468.2,0.225,22.5,75.2,0.036,3.6,2.08,2080,7.3
2015,ZM266,Symbiont,Pocillopora,Deep,,Veyvah,-17.2,5.1,745.2,0.35,35,122.5,0.058,5.8,2.128,2128,7.1
