Year,Sample_ID_Host,Coral,Depth,Atoll,Site,d13C_Host,d15N_Host,C_ug_Host,C_wt-percent_Host,C_wt-percent-num_Host,N_ug_Host,N_wt-percent_Host,N_wt-percent-num_Host,dry-weight_mg_Host,dry-weight_ug_Host,CN_molar-ratio_Host,Sample_ID_Sym,d13C_Sym,d15N_Sym,C_ug_Sym,C_wt-percent_Sym,C_wt-percent-num_Sym,N_ug_Sym,N_wt-percent_Sym,N_wt-percent-num_Sym,dry-weight_mg_Sym,dry-weight_ug_Sym,CN_molar-ratio_Sym,d13C_host-sym,d15N_host-sym
2015,HM152,Pocillopora,Deep,Dhaalu,Hulhuvehi,-16.6,5.2,358.6,0.098,9.8,63.4,0.017,1.7,3.655,3655,6.6,ZM152,-15.5,6.3,744.3,0.357,35.7,134.7,0.065,6.5,2.086,2086,6.4,-1.1,-1.1
2015,HM153,Pocillopora,Deep,Dhaalu,Hulhuvehi,-19.3,5.4,281.3,0.077,7.7,58.1,0.016,1.6,3.645,3645,5.6,ZM153,-18.3,4.9,543.8,0.26,26,81.9,0.039,3.9,2.093,2093,7.7,-1.0,0.5
2015,HM155,Pocillopora,Shallow,Dhaalu,Hulhuvehi,-17.6,5.7,408.1,0.112,11.2,84.1,0.023,2.3,3.647,3647,5.7,ZM155,-16.6,5.1,531.7,0.258,25.8,64.7,0.031,3.1,2.064,2064,9.6,-1.0,0.6
2015,HM157,Pocillopora,Shallow,Dhaalu,Hulhuvehi,-15.9,5.9,350.5,0.097,9.7,76.4,0.021,2.1,3.612,3612,5.4,ZM157,-15.3,6.0,585.8,0.286,28.6,104,0.051,5.1,2.045,2045,6.6,-0.6,-0.1
2015,HM158,Pocillopora,Shallow,Dhaalu,Hulhuvehi,-18.1,5.6,202.6,0.056,5.6,44,0.012,1.2,3.6,3600,5.4,ZM158,-16.6,4.7,368.8,0.181,18.1,51.7,0.025,2.5,2.037,2037,8.3,-1.5,0.9
2015,HM161,Pachyseris,Shallow,Dhaalu,Hulhuvehi,-16.2,4.4,361.4,0.1,10,64,0.018,1.8,3.623,3623,6.6,ZM161,-13.8,5.1,453.4,0.222,22.2,57.3,0.028,2.8,2.04,2040,9.2,-2.4,-0.7
2015,HM162,Pachyseris,Shallow,Dhaalu,Hulhuvehi,-15.9,4.7,381.3,0.105,10.5,67.4,0.019,1.9,3.614,3614,6.6,ZM162,-13.3,5.5,359.3,0.17,17,43.4,0.02,2,2.118,2118,9.7,-2.6,-0.8
2015,HM163,Pachyseris,Shallow,Dhaalu,Hulhuvehi,-16.8,4.5,326.2,0.089,8.9,59.9,0.016,1.6,3.655,3655,6.4,ZM163,-14.8,5.6,258.4,0.122,12.2,32.4,0.015,1.5,2.11,2110,9.3,-2.0,-1.1
2015,HM165,Galaxea,Shallow,Dhaalu,Hulhuvehi,-13.6,5.9,441,0.122,12.2,75.6,0.021,2.1,3.625,3625,6.8,ZM165,-13.9,4.6,272.4,0.133,13.3,39.9,0.02,2,2.044,2044,8,0.3,1.3
2015,HM167,Galaxea,Shallow,Dhaalu,Hulhuvehi,-14.8,5.7,453.1,0.125,12.5,74.3,0.02,2,3.629,3629,7.1,ZM167,-14.6,5.2,498.4,0.232,23.2,77.5,0.036,3.6,2.151,2151,7.5,-0.2,0.5
2015,HM171,Pachyseris,Deep,Dhaalu,Maafushi,-14.2,5.6,487.9,0.133,13.3,92.9,0.025,2.5,3.668,3668,6.1,ZM171,-13.8,4.8,342.2,0.171,17.1,56.3,0.028,2.8,1.997,1997,7.1,-0.4,0.8
2015,HM178,Pachyseris,Deep,Dhaalu,Maafushi,-14.5,5.2,408.9,0.113,11.3,75.2,0.021,2.1,3.603,3603,6.3,ZM178,-13.2,4.9,447.6,0.217,21.7,70,0.034,3.4,2.065,2065,7.5,-1.3,0.3
