Year,Sample_ID,Tissue_type,Coral,Depth,Atoll,Site,d13C,d15N,C_ug,wt-percent_C,wt-percent_C_num,N_ug,wt-percent_N,wt-percent_N_num,dry-weight_mg,dry-weight_ug,CN_molar-ratio
2015,HM158,Host,Pocillopora,Shallow,Dhaalu,Hulhuvehi,-18.1,5.6,202.6,0.056,5.6,44.0,0.012,1.2,3.600,3600,5.4
2015,HM161,Host,Pachyseris,Shallow,Dhaalu,Hulhuvehi,-16.2,4.4,361.4,0.100,10.0,64.0,0.018,1.8,3.623,3623,6.6
2015,HM162,Host,Pachyseris,Shallow,Dhaalu,Hulhuvehi,-15.9,4.7,381.3,0.105,10.5,67.4,0.019,1.9,3.614,3614,6.6
2015,HM163,Host,Pachyseris,Shallow,Dhaalu,Hulhuvehi,-16.8,4.5,326.2,0.089,8.9,59.9,0.016,1.6,3.655,3655,6.4
2015,HM165,Host,Galaxea,Shallow,Dhaalu,Hulhuvehi,-13.6,5.9,441.0,0.122,12.2,75.6,0.021,2.1,3.625,3625,6.8
2015,HM167,Host,Galaxea,Shallow,Dhaalu,Hulhuvehi,-14.8,5.7,453.1,0.125,12.5,74.3,0.020,2.0,3.629,3629,7.1
2015,HM169,Host,Galaxea,Shallow,Dhaalu,Hulhuvehi,-16.3,5.5,832.8,0.227,22.7,129.9,0.035,3.5,3.673,3673,7.5
2015,HM171,Host,Pachyseris,Deep,Dhaalu,Maafushi,-14.2,5.6,487.9,0.133,13.3,92.9,0.025,2.5,3.668,3668,6.1
2015,HM178,Host,Pachyseris,Deep,Dhaalu,Maafushi,-14.5,5.2,408.9,0.113,11.3,75.2,0.021,2.1,3.603,3603,6.3
2015,HM179,Host,Pachyseris,Deep,Dhaalu,Maafushi,-15.9,5.5,537.3,0.148,14.8,101.1,0.028,2.8,3.642,3642,6.2
2015,HM183,Host,Galaxea,Deep,Dhaalu,Maafushi,-18.1,5.7,204.4,0.056,5.6,40.5,0.011,1.1,3.647,3647,5.9
2015,HM184,Host,Galaxea,Deep,Dhaalu,Maafushi,-19.5,5.7,202.1,0.055,5.5,39.6,0.011,1.1,3.654,3654,6.0
2015,HM185,Host,Galaxea,Deep,Dhaalu,Maafushi,-18.0,6.1,524.9,0.144,14.4,99.8,0.027,2.7,3.651,3651,6.1
2015,HM186,Host,Pocillopora,Shallow,Dhaalu,Maafushi,-15.0,6.2,380.3,0.105,10.5,84.0,0.023,2.3,3.611,3611,5.3
2015,HM188,Host,Pocillopora,Shallow,Dhaalu,Maafushi,-15.0,6.2,268.7,0.074,7.4,55.0,0.015,1.5,3.631,3631,5.7
2015,HM189,Host,Pocillopora,Shallow,Dhaalu,Maafushi,-15.5,6.2,335.1,0.092,9.2,70.2,0.019,1.9,3.628,3628,5.6
2015,HM196,Host,Galaxea,Shallow,Dhaalu,Maafushi,-14.4,4.9,748.8,0.205,20.5,126.7,0.035,3.5,3.645,3645,6.9
2015,HM198,Host,Galaxea,Shallow,Dhaalu,Maafushi,-15.3,5.1,812.5,0.219,21.9,134.9,0.036,3.6,3.712,3712,7.0
2015,HM200,Host,Galaxea,Shallow,Dhaalu,Maafushi,-16.7,6.5,667.0,0.181,18.1,122.9,0.033,3.3,3.689,3689,6.3
2015,HM201,Host,Pachyseris,Shallow,Meemu,Kurali,-16.2,4.8,132.6,0.036,3.6,24.8,0.007,0.7,3.635,3635,6.2
2015,HM202,Host,Pachyseris,Shallow,Meemu,Kurali,-16.3,4.8,138.6,0.037,3.7,24.7,0.007,0.7,3.707,3707,6.6
2015,HM205,Host,Pachyseris,Deep,Meemu,Bodu huraa,-14.9,5.5,357.4,0.097,9.7,65.4,0.018,1.8,3.692,3692,6.4
2015,HM206,Host,Pachyseris,Deep,Meemu,Bodu huraa,-15.8,6.4,499.3,0.137,13.7,92.8,0.026,2.6,3.633,3633,6.3
2015,HM207,Host,Pachyseris,Deep,Meemu,Bodu huraa,-14.7,5.1,294.4,0.080,8.0,54.9,0.015,1.5,3.696,3696,6.3
2015,HM211,Host,Galaxea,Deep,Meemu,Bodu huraa,-17.3,5.1,322.6,0.089,8.9,64.5,0.018,1.8,3.615,3615,5.8
2015,HM212,Host,Galaxea,Deep,Meemu,Bodu huraa,-16.2,5.9,503.6,0.138,13.8,97.9,0.027,2.7,3.662,3662,6.0
2015,HM213,Host,Pocillopora,Deep,Meemu,Bodu huraa,-18.4,4.6,200.5,0.055,5.5,41.5,0.011,1.1,3.646,3646,5.6
2015,HM216,Host,Pocillopora,Deep,Meemu,Bodu huraa,-17.1,5.3,276.6,0.075,7.5,55.6,0.015,1.5,3.669,3669,5.8
2015,HM220,Host,Pocillopora,Deep,Meemu,Bodu huraa,-16.9,6.2,290.0,0.081,8.1,61.0,0.017,1.7,3.601,3601,5.5
2015,HM225,Host,Galaxea,Deep,Meemu,Bodu huraa,-17.4,5.6,215.3,0.059,5.9,41.1,0.011,1.1,3.657,3657,6.1
2015,HM228,Host,Pachyseris,Shallow,Meemu,Bodu huraa,-15.0,5.3,437.5,0.121,12.1,79.0,0.022,2.2,3.627,3627,6.5
2015,HM230,Host,Pachyseris,Shallow,Meemu,Bodu huraa,-15.5,4.9,352.6,0.096,9.6,61.7,0.017,1.7,3.676,3676,6.7
2015,HM232,Host,Pachyseris,Shallow,Meemu,Bodu huraa,-12.6,5.2,448.6,0.122,12.2,77.9,0.021,2.1,3.687,3687,6.7
2015,HM235,Host,Pocillopora,Shallow,Meemu,Bodu huraa,-18.8,5.6,179.1,0.049,4.9,34.4,0.009,0.9,3.677,3677,6.1
2015,HM236,Host,Pocillopora,Shallow,Meemu,Bodu huraa,-18.1,5.4,284.1,0.078,7.8,54.8,0.015,1.5,3.645,3645,6.1
2015,HM238,Host,Pocillopora,Shallow,Meemu,Bodu huraa,-18.6,5.6,282.9,0.077,7.7,55.6,0.015,1.5,3.666,3666,5.9
2015,HM241,Host,Galaxea,Shallow,Meemu,Bodu huraa,-15.0,5.5,450.5,0.123,12.3,82.7,0.023,2.3,3.674,3674,6.4
2015,HM246,Host,Galaxea,Shallow,Meemu,Bodu huraa,-16.3,5.6,428.8,0.118,11.8,85.3,0.023,2.3,3.637,3637,5.9
