Year,Sample_ID,Tissue_type,Coral,Depth,Atoll,Site,Host_d13C,Host_d15N,Host_C_ug,Host_wt-percent_C,Host_wt-percent_C_num,Host_N_ug,Host_wt-percent_N,Host_wt-percent_N_num,Host_dry-weight_mg,Host_dry-weight_ug,Host_CN_molar-ratio
2015,HM200,Host,Galaxea,Shallow,Dhaalu,Maafushi,-16.7,6.5,667.04,0.181,18.1,122.93,0.033,3.3,3.689,3689,6.3
2015,HM201,Host,Pachyseris,Shallow,Meemu,Kurali,-16.2,4.8,132.64,0.036,3.6,24.82,0.007,0.7,3.635,3635,6.2
2015,HM202,Host,Pachyseris,Shallow,Meemu,Kurali,-16.3,4.8,138.64,0.037,3.7,24.66,0.007,0.7,3.707,3707,6.6
2015,HM205,Host,Pachyseris,Deep,Meemu,Bodu huraa,-14.9,5.5,357.4,0.097,9.7,65.35,0.018,1.8,3.692,3692,6.4
2015,HM206,Host,Pachyseris,Deep,Meemu,Bodu huraa,-15.8,6.4,499.28,0.137,13.7,92.83,0.026,2.6,3.633,3633,6.3
2015,HM207,Host,Pachyseris,Deep,Meemu,Bodu huraa,-14.7,5.1,294.35,0.08,8,54.89,0.015,1.5,3.696,3696,6.3
2015,HM211,Host,Galaxea,Deep,Meemu,Bodu huraa,-17.3,5.1,322.64,0.089,8.9,64.5,0.018,1.8,3.615,3615,5.8
2015,HM212,Host,Galaxea,Deep,Meemu,Bodu huraa,-16.2,5.9,503.56,0.138,13.8,97.94,0.027,2.7,3.662,3662,6
2015,HM213,Host,Pocillopora,Deep,Meemu,Bodu huraa,-18.4,4.6,200.52,0.055,5.5,41.52,0.011,1.1,3.646,3646,5.6
2015,HM216,Host,Pocillopora,Deep,Meemu,Bodu huraa,-17.1,5.3,276.55,0.075,7.5,55.58,0.015,1.5,3.669,3669,5.8
2015,HM220,Host,Pocillopora,Deep,Meemu,Bodu huraa,-16.9,6.2,290.01,0.081,8.1,61.04,0.017,1.7,3.601,3601,5.5
2015,HM225,Host,Galaxea,Deep,Meemu,Bodu huraa,-17.4,5.6,215.34,0.059,5.9,41.13,0.011,1.1,3.657,3657,6.1
2015,HM228,Host,Pachyseris,Shallow,Meemu,Bodu huraa,-15,5.3,437.49,0.121,12.1,79.02,0.022,2.2,3.627,3627,6.5
2015,HM230,Host,Pachyseris,Shallow,Meemu,Bodu huraa,-15.5,4.9,352.63,0.096,9.6,61.68,0.017,1.7,3.676,3676,6.7
2015,HM232,Host,Pachyseris,Shallow,Meemu,Bodu huraa,-12.6,5.2,448.55,0.122,12.2,77.92,0.021,2.1,3.687,3687,6.7
2015,HM235,Host,Pocillopora,Shallow,Meemu,Bodu huraa,-18.8,5.6,179.08,0.049,4.9,34.39,0.009,0.9,3.677,3677,6.1
2015,HM236,Host,Pocillopora,Shallow,Meemu,Bodu huraa,-18.1,5.4,284.09,0.078,7.8,54.78,0.015,1.5,3.645,3645,6.1
2015,HM238,Host,Pocillopora,Shallow,Meemu,Bodu huraa,-18.6,5.6,282.91,0.077,7.7,55.62,0.015,1.5,3.666,3666,5.9
2015,HM241,Host,Galaxea,Shallow,Meemu,Bodu huraa,-15,5.5,450.48,0.123,12.3,82.68,0.023,2.3,3.674,3674,6.4
2015,HM246,Host,Galaxea,Shallow,Meemu,Bodu huraa,-16.3,5.6,428.75,0.118,11.8,85.33,0.023,2.3,3.637,3637,5.9
2015,HM248,Host,Galaxea,Shallow,Meemu,Bodu huraa,-14.6,4.6,205.6,0.056,5.6,43.38,0.012,1.2,3.648,3648,5.5
2015,HM254,Host,Pachyseris,Deep,Meemu,Veyvah,-14,5.2,388.8,0.106,10.6,74.35,0.02,2,3.667,3667,6.1
2015,HM255,Host,Pachyseris,Deep,Meemu,Veyvah,-15.4,4.8,297.91,0.082,8.2,53.7,0.015,1.5,3.641,3641,6.5
2015,HM256,Host,Pachyseris,Deep,Meemu,Veyvah,-15.6,5.4,430.39,0.116,11.6,83.66,0.023,2.3,3.715,3715,6
2015,HM261,Host,Galaxea,Deep,Meemu,Veyvah,-17.5,5.4,406.46,0.111,11.1,82.82,0.023,2.3,3.672,3672,5.7
2015,HM262,Host,Galaxea,Deep,Meemu,Veyvah,-18.4,5.7,445.88,0.122,12.2,80.63,0.022,2.2,3.655,3655,6.5
2015,HM263,Host,Galaxea,Deep,Meemu,Veyvah,-18.5,5.1,235.63,0.065,6.5,42.18,0.012,1.2,3.639,3639,6.5
2015,HM265,Host,Pocillopora,Deep,Meemu,Veyvah,-18,4.8,260.98,0.072,7.2,54.95,0.015,1.5,3.641,3641,5.5
2015,HM266,Host,Pocillopora,Deep,Meemu,Veyvah,-18.1,5.5,353.32,0.098,9.8,64.74,0.018,1.8,3.61,3610,6.4
2015,HM267,Host,Pocillopora,Deep,Meemu,Veyvah,-17.8,4.7,244.58,0.067,6.7,48.68,0.013,1.3,3.677,3677,5.9
2015,HM268,Host,Pocillopora,Deep,Meemu,Veyvah,-18.6,5.6,381.49,0.106,10.6,73.21,0.02,2,3.599,3599,6.1
2015,HM273,Host,Galaxea,Shallow,Meemu,Veyvah,-16.7,5.4,354.51,0.098,9.8,63.92,0.018,1.8,3.616,3616,6.5
2015,HM275,Host,Galaxea,Shallow,Meemu,Veyvah,-14.7,5.7,520.12,0.143,14.3,97.99,0.027,2.7,3.643,3643,6.2
2015,HM276,Host,Galaxea,Shallow,Meemu,Veyvah,-17.4,4.1,741.88,0.203,20.3,117.2,0.032,3.2,3.647,3647,7.4
2015,HM279,Host,Pocillopora,Shallow,Meemu,Veyvah,-18.6,5.9,461.15,0.126,12.6,104.46,0.029,2.9,3.661,3661,5.2
2015,HM282,Host,Pocillopora,Shallow,Meemu,Veyvah,-16.8,5.4,308.97,0.085,8.5,67.65,0.019,1.9,3.624,3624,5.3
2015,HM284,Host,Pocillopora,Shallow,Meemu,Veyvah,-18.5,5.4,333.88,0.091,9.1,70.77,0.019,1.9,3.65,3650,5.5
2015,HM289,Host,Pocillopora,Deep,Vaavu,Kandimma Falhu,-17.7,5.4,381.44,0.103,10.3,75.07,0.02,2,3.708,3708,5.9
2015,HM290,Host,Pocillopora,Deep,Vaavu,Kandimma Falhu,-19.2,5.6,204.98,0.056,5.6,41.82,0.011,1.1,3.643,3643,5.7
2015,HM291,Host,Pocillopora,Deep,Vaavu,Kandimma Falhu,-17.7,5.6,223.3,0.061,6.1,45.22,0.012,1.2,3.684,3684,5.8
2015,HM293,Host,Pachyseris,Deep,Vaavu,Kandimma Falhu,-15.8,5.9,369.87,0.101,10.1,68.91,0.019,1.9,3.661,3661,6.3
2015,HM294,Host,Pachyseris,Deep,Vaavu,Kandimma Falhu,-14.2,5.8,362.78,0.1,10,69.84,0.019,1.9,3.645,3645,6.1
2015,HM295,Host,Pachyseris,Deep,Vaavu,Kandimma Falhu,-15.4,5.8,387.62,0.107,10.7,72.38,0.02,2,3.631,3631,6.2
2015,HM302,Host,Galaxea,Deep,Vaavu,Kandimma Falhu,-18.3,5.8,389.98,0.108,10.8,69.49,0.019,1.9,3.626,3626,6.5
2015,HM303,Host,Galaxea,Deep,Vaavu,Kandimma Falhu,-17.6,6.2,309.68,0.085,8.5,60.91,0.017,1.7,3.649,3649,5.9
2015,HM305,Host,Galaxea,Shallow,Vaavu,Kandimma Falhu,-14.2,6,614.73,0.169,16.9,111.1,0.031,3.1,3.631,3631,6.5
2015,HM307,Host,Galaxea,Shallow,Vaavu,Kandimma Falhu,-17.1,6.2,514.4,0.139,13.9,98.62,0.027,2.7,3.692,3692,6.1
2015,HM309,Host,Galaxea,Shallow,Vaavu,Kandimma Falhu,-14.3,6,427.55,0.117,11.7,79.69,0.022,2.2,3.644,3644,6.3
2015,HM312,Host,Pocillopora,Shallow,Vaavu,Kandimma Falhu,-17.4,6,504.19,0.138,13.8,91.65,0.025,2.5,3.654,3654,6.4
2015,HM314,Host,Pocillopora,Shallow,Vaavu,Kandimma Falhu,-18.3,5.9,326.76,0.09,9,69.45,0.019,1.9,3.642,3642,5.5
2015,HM317,Host,Pocillopora,Shallow,Vaavu,Kandimma Falhu,-18.3,5.7,388.59,0.108,10.8,72.44,0.02,2,3.603,3603,6.3
2015,HM319,Host,Pachyseris,Shallow,Vaavu,Kandimma Falhu,-14.5,5.9,416.02,0.111,11.1,80.37,0.022,2.2,3.733,3733,6
2015,HM322,Host,Pachyseris,Shallow,Vaavu,Kandimma Falhu,-13.7,5.9,471.89,0.131,13.1,84.99,0.024,2.4,3.613,3613,6.5
2015,HM324,Host,Pachyseris,Shallow,Vaavu,Kandimma Falhu,-13,5.2,295.41,0.082,8.2,60.81,0.017,1.7,3.606,3606,5.7
